"observation_id","label","observed","group_mean","residual","standardized_residual"
"obs-0001","observation-0001",21,19.7428571428572,1.25714285714283,0.403267173222957
"obs-0002","observation-0002",21,19.7428571428571,1.25714285714286,0.403267173222967
"obs-0003","observation-0003",22.8,26.6636363636364,-3.86363636363637,-1.23938000034951
"obs-0004","observation-0004",21.4,19.7428571428571,1.65714285714286,0.531579455612095
"obs-0005","observation-0005",18.7,15.1,3.6,1.15481054150213
"obs-0006","observation-0006",18.1,19.7428571428571,-1.64285714285714,-0.526996874098193
"obs-0007","observation-0007",14.3,15.1,-0.799999999999999,-0.256624564778251
"obs-0008","observation-0008",24.4,26.6636363636364,-2.26363636363636,-0.726130870793008
"obs-0009","observation-0009",22.8,26.6636363636364,-3.86363636363636,-1.23938000034951
"obs-0010","observation-0010",19.2,19.7428571428571,-0.542857142857137,-0.174138097528097
"obs-0011","observation-0011",17.8,19.7428571428571,-1.94285714285714,-0.623231085890038
"obs-0012","observation-0012",16.4,15.1,1.3,0.417014917764659
"obs-0013","observation-0013",17.3,15.1,2.2,0.705717553140192
"obs-0014","observation-0014",15.2,15.1,0.0999999999999993,0.0320780705972812
"obs-0015","observation-0015",10.4,15.1,-4.7,-1.50766931807223
"obs-0016","observation-0016",10.4,15.1,-4.7,-1.50766931807223
"obs-0017","observation-0017",14.7,15.1,-0.400000000000001,-0.128312282389126
"obs-0018","observation-0018",32.4,26.6636363636364,5.73636363636364,1.84011477698951
"obs-0019","observation-0019",30.4,26.6636363636364,3.73636363636364,1.19855336504388
"obs-0020","observation-0020",33.9,26.6636363636364,7.23636363636364,2.32128583594873
"obs-0021","observation-0021",21.5,26.6636363636364,-5.16363636363636,-1.65639491811417
"obs-0022","observation-0022",15.5,15.1,0.4,0.128312282389126
"obs-0023","observation-0023",15.2,15.1,0.0999999999999993,0.0320780705972812
"obs-0024","observation-0024",13.3,15.1,-1.8,-0.577405270751066
"obs-0025","observation-0025",19.2,15.1,4.1,1.31520089448854
"obs-0026","observation-0026",27.3,26.6636363636364,0.636363636363638,0.204133176528155
"obs-0027","observation-0027",26,26.6636363636364,-0.663636363636362,-0.212881741236504
"obs-0028","observation-0028",30.4,26.6636363636364,3.73636363636364,1.19855336504388
"obs-0029","observation-0029",15.8,15.1,0.700000000000001,0.224546494180971
"obs-0030","observation-0030",19.7,19.7428571428571,-0.0428571428571368,-0.0137477445416901
"obs-0031","observation-0031",15,15.1,-0.1,-0.0320780705972815
"obs-0032","observation-0032",21.4,26.6636363636364,-5.26363636363636,-1.68847298871145
