"label","x","y","z"
"Mazda RX4",0.150884824647657,-0.535092839730217,-0.610399567481535
"Mazda RX4 Wag",0.150884824647657,-0.535092839730217,-0.349785269100972
"Datsun 710",0.449543446630647,-0.783040458821562,-0.917004624399846
"Hornet 4 Drive",0.217253407310543,-0.535092839730217,-0.00229953792688741
"Hornet Sportabout",-0.230734525663942,0.41294217444257,0.227654254761845
"Valiant",-0.330287399658272,-0.608018610051201,0.248094591889733
"Duster 360",-0.960788934955696,1.43390295893634,0.360516446093113
"Merc 240D",0.715017777282194,-1.23518023481166,-0.0278499593367465
"Merc 230",0.449543446630647,-0.753870150693168,-0.0687306335925212
"Merc 280",-0.147773797335334,-0.34548583689566,0.227654254761845
"Merc 280C",-0.380063836655437,-0.34548583689566,0.227654254761845
"Merc 450SE",-0.612353875975541,0.485867944763553,0.871524874290296
"Merc 450SL",-0.463024564984046,0.485867944763553,0.524039143116211
"Merc 450SLC",-0.811459623964201,0.485867944763553,0.57513998593593
"Cadillac Fleetwood",-1.60788261591884,0.850496796368472,2.07750476483565
"Lincoln Continental",-1.60788261591884,0.996348337010439,2.25533569784827
"Chrysler Imperial",-0.89442035229281,1.21512564797339,2.17459636619311
"Fiat 128",2.04238943053993,-1.17683961855487,-1.03964664716717
"Honda Civic",1.7105465172255,-1.38103177545363,-1.63752650815787
"Toyota Corolla",2.29127161552575,-1.19142477261907,-1.41268279975111
"Toyota Corona",0.233845552976265,-0.724699842564775,-0.768812180222662
"Dodge Challenger",-0.761683186967036,0.0483133228376517,0.309415603273395
"AMC Javelin",-0.811459623964201,0.0483133228376517,0.222544170479873
"Camaro Z28",-1.12671039161291,1.43390295893634,0.636460997319592
"Pontiac Firebird",-0.147773797335334,0.41294217444257,0.641571081601564
"Fiat X1-9",1.19619000158812,-1.17683961855487,-1.31048111411168
"Porsche 914-2",0.980492107933741,-0.812210766949955,-1.10096765855083
"Lotus Europa",1.7105465172255,-0.491337377537627,-1.7417722275101
"Ford Pantera L",-0.711906749969871,1.71102088615608,-0.0482902964646338
"Ferrari Dino",-0.0648130690067253,0.41294217444257,-0.45709703902238
"Maserati Bora",-0.844643915295645,2.74656682471405,0.360516446093113
"Volvo 142E",0.217253407310543,-0.549677993794414,-0.446876870458437
