"observation_id","label","observed","fitted","residual","interval_low","interval_high"
"obs-0001","Mazda RX4",21,23.5723294033093,-2.57232940330929,22.5027421316469,24.6419166749715
"obs-0002","Mazda RX4 Wag",21,22.583482563996,-1.58348256399603,21.5606991708738,23.6062659571183
"obs-0003","Datsun 710",22.8,25.2758187247274,-2.47581872472737,24.0286382494973,26.5229991999574
"obs-0004","Hornet 4 Drive",21.4,21.2650201115784,0.134979888421558,20.1574792782644,22.3725609448924
"obs-0005","Hornet Sportabout",18.7,18.3272666406969,0.372733359303077,17.3513287503628,19.303204531031
"obs-0006","Valiant",18.1,20.4738163146001,-2.3738163146001,19.1566096202684,21.7910230089317
"obs-0007","Duster 360",14.3,15.599042355433,-1.29904235543304,13.8602445256616,17.3378401852045
"obs-0008","Merc 240D",24.4,22.8870673352823,1.51293266471771,21.1583980427324,24.6157366278321
"obs-0009","Merc 230",22.8,21.9936733145672,0.806326685432842,20.7484070929423,23.238939536192
"obs-0010","Merc 280",19.2,19.9794598837693,-0.779459883769295,18.8785187801883,21.0804009873503
"obs-0011","Merc 280C",17.8,19.9794598837693,-2.17945988376929,18.8785187801883,21.0804009873503
"obs-0012","Merc 450SE",16.4,15.7253685380712,0.674631461928831,14.5203917751667,16.9303453009756
"obs-0013","Merc 450SL",17.3,17.0438309904888,0.256169009511241,16.0116250198068,18.0760369611708
"obs-0014","Merc 450SLC",15.2,16.8499394533685,-1.64993945336853,15.8011356354697,17.8987432712674
"obs-0015","Cadillac Fleetwood",10.4,10.3552045874796,0.0447954125203775,8.16433439582432,12.5460747791349
"obs-0016","Lincoln Continental",10.4,9.3627325684796,1.0372674315204,7.03904234107133,11.6864227958879
"obs-0017","Chrysler Imperial",14.7,9.19248699239715,5.50751300760284,6.99739828975243,11.3875756950419
"obs-0018","Fiat 128",32.4,26.5990279823343,5.80097201766573,25.1621236018789,28.0359323627896
"obs-0019","Honda Civic",30.4,29.3123802243913,1.08761977560873,27.5299760724091,31.0947843763735
"obs-0020","Toyota Corolla",33.9,28.0462091502941,5.85379084970586,26.442792488359,29.6496258122293
"obs-0021","Toyota Corona",21.5,24.58644147915,-3.08644147915004,23.4158818635085,25.7570010947916
"obs-0022","Dodge Challenger",15.5,18.8113638558586,-3.31136385585857,17.8507203108298,19.7720074008873
"obs-0023","AMC Javelin",15.2,19.140979468963,-3.94097946896297,18.2120373564387,20.0699215814873
"obs-0024","Camaro Z28",13.3,14.5520280549838,-1.25202805498378,12.9207975080484,16.1832586019192
"obs-0025","Pontiac Firebird",19.2,16.756745190023,2.44325480997697,15.6840668035557,17.8294235764904
"obs-0026","Fiat X1-9",27.3,27.6266531290715,-0.326653129071512,26.0827673516843,29.1705389064588
"obs-0027","Porsche 914-2",26,26.0373741523245,-0.037374152324528,24.6850263766076,27.3897219280414
"obs-0028","Lotus Europa",30.4,27.7697691942047,2.63023080579528,25.7773459290999,29.7621924593095
"obs-0029","Ford Pantera L",15.8,16.5464886597339,-0.746488659733857,14.2482594628233,18.8447178566444
"obs-0030","Ferrari Dino",19.7,20.9254132381081,-1.22541323810806,19.6092321820195,22.2415942941966
"obs-0031","Maserati Bora",15,12.7394771270386,2.26052287296144,9.54801015974263,15.9309440943345
"obs-0032","Volvo 142E",21.4,22.9836494315066,-1.58364943150664,21.9493164215725,24.0179824414407
