"observation_id","label","observed","predicted_probability","residual","probability_low","probability_high","predicted_class"
"src-c19f20d61ba8-00000009","src-c19f20d61ba8-00000009",0,0.477520893561561,-0.477520893561561,0.339043137830667,0.619542556506799,0
"src-c19f20d61ba8-00000013","src-c19f20d61ba8-00000013",1,0.783340614962246,0.216659385037754,0.633362969596979,0.883274496623984,1
"src-c19f20d61ba8-00000014","src-c19f20d61ba8-00000014",0,0.627646820769453,-0.627646820769453,0.521178037731606,0.723023038723912,1
"src-c19f20d61ba8-00000021","src-c19f20d61ba8-00000021",1,0.64524693442572,0.35475306557428,0.508613954408222,0.761689225183677,1
"src-c19f20d61ba8-00000024","src-c19f20d61ba8-00000024",1,0.714409897008273,0.285590102991727,0.602332960767642,0.805119364544642,1
"src-c19f20d61ba8-00000028","src-c19f20d61ba8-00000028",0,0.50678340864447,-0.50678340864447,0.374318596326702,0.6383026205848,1
"src-c19f20d61ba8-00000029","src-c19f20d61ba8-00000029",1,0.66122315690227,0.33877684309773,0.546513360260892,0.759676473807595,1
"src-c19f20d61ba8-00000030","src-c19f20d61ba8-00000030",1,0.727563327779992,0.272436672220008,0.611430699003962,0.819247807446591,1
"src-c19f20d61ba8-00000031","src-c19f20d61ba8-00000031",1,0.675591868861356,0.324408131138644,0.521206904705376,0.799359331917896,1
"src-c19f20d61ba8-00000033","src-c19f20d61ba8-00000033",0,0.612869626135234,-0.612869626135234,0.485376744858046,0.7265703868906,1
"src-c19f20d61ba8-00000036","src-c19f20d61ba8-00000036",1,0.5419339142729,0.4580660857271,0.398744833898915,0.678515700840101,1
"src-c19f20d61ba8-00000045","src-c19f20d61ba8-00000045",0,0.650745438189812,-0.650745438189812,0.53826850368687,0.748619098011032,1
"src-c19f20d61ba8-00000048","src-c19f20d61ba8-00000048",1,0.873132990409196,0.126867009590804,0.747486928908576,0.941179487686519,1
"src-c19f20d61ba8-00000051","src-c19f20d61ba8-00000051",1,0.547929294311759,0.452070705688241,0.436754304774031,0.654518430274008,1
"src-c19f20d61ba8-00000054","src-c19f20d61ba8-00000054",0,0.36262807539191,-0.36262807539191,0.215894167455961,0.540363081782375,0
"src-c19f20d61ba8-00000056","src-c19f20d61ba8-00000056",1,0.504423562771517,0.495576437228483,0.38317846430833,0.625150619226715,1
"src-c19f20d61ba8-00000057","src-c19f20d61ba8-00000057",1,0.704515027314074,0.295484972685926,0.599014658481547,0.791900951580579,1
"src-c19f20d61ba8-00000060","src-c19f20d61ba8-00000060",0,0.624707422120361,-0.624707422120361,0.431112887727776,0.785239786776378,1
"src-c19f20d61ba8-00000062","src-c19f20d61ba8-00000062",1,0.465434246857604,0.534565753142396,0.335614322426681,0.600112134245714,0
"src-c19f20d61ba8-00000063","src-c19f20d61ba8-00000063",0,0.618537281873233,-0.618537281873233,0.508387406562568,0.717711062181602,1
"src-c19f20d61ba8-00000071","src-c19f20d61ba8-00000071",1,0.765595593401914,0.234404406598086,0.633635277068144,0.860490309169279,1
"src-c19f20d61ba8-00000075","src-c19f20d61ba8-00000075",0,0.417675140420994,-0.417675140420994,0.285529771429535,0.562803057716547,0
"src-c19f20d61ba8-00000091","src-c19f20d61ba8-00000091",0,0.624573797238294,-0.624573797238294,0.430266709006922,0.785629286596767,1
"src-c19f20d61ba8-00000094","src-c19f20d61ba8-00000094",0,0.517795054525285,-0.517795054525285,0.381499106132193,0.651493540952017,1
"src-c19f20d61ba8-00000099","src-c19f20d61ba8-00000099",1,0.675738753523557,0.324261246476443,0.570607193468717,0.765699471574652,1
"src-c19f20d61ba8-00000107","src-c19f20d61ba8-00000107",0,0.659509227454063,-0.659509227454063,0.551232528853199,0.753350820574724,1
"src-c19f20d61ba8-00000113","src-c19f20d61ba8-00000113",0,0.377196142249167,-0.377196142249167,0.223025448694729,0.560992020218814,0
"src-c19f20d61ba8-00000119","src-c19f20d61ba8-00000119",1,0.765413076871334,0.234586923128666,0.653251802013814,0.849644447804679,1
"src-c19f20d61ba8-00000144","src-c19f20d61ba8-00000144",1,0.766251211526286,0.233748788473714,0.627716239013149,0.864372811810055,1
"src-c19f20d61ba8-00000150","src-c19f20d61ba8-00000150",0,0.40457568401786,-0.40457568401786,0.240564495109411,0.593080858689042,0
"src-c19f20d61ba8-00000151","src-c19f20d61ba8-00000151",0,0.431436314225231,-0.431436314225231,0.30136197999417,0.571710597615675,0
"src-c19f20d61ba8-00000152","src-c19f20d61ba8-00000152",1,0.52840994624373,0.47159005375627,0.40569960587107,0.647780317190978,1
"src-c19f20d61ba8-00000153","src-c19f20d61ba8-00000153",0,0.516868867166947,-0.516868867166947,0.39356901042432,0.63814840183089,1
"src-c19f20d61ba8-00000156","src-c19f20d61ba8-00000156",0,0.227656880231253,-0.227656880231253,0.0992405949237927,0.440905582774131,0
"src-c19f20d61ba8-00000166","src-c19f20d61ba8-00000166",1,0.599854373332554,0.400145626667446,0.467638768824754,0.718966899643502,1
"src-c19f20d61ba8-00000170","src-c19f20d61ba8-00000170",1,0.563789582391606,0.436210417608394,0.450225721424043,0.671035336989079,1
"src-c19f20d61ba8-00000176","src-c19f20d61ba8-00000176",1,0.38246750389984,0.61753249610016,0.240834321725414,0.547341465178747,0
"src-c19f20d61ba8-00000180","src-c19f20d61ba8-00000180",1,0.630199535662064,0.369800464337936,0.458207577617703,0.774466635045734,1
"src-c19f20d61ba8-00000184","src-c19f20d61ba8-00000184",0,0.702592647202606,-0.702592647202606,0.568405400858271,0.809073442498408,1
"src-c19f20d61ba8-00000187","src-c19f20d61ba8-00000187",0,0.814553713887369,-0.814553713887369,0.697917779619612,0.893056397963563,1
"src-c19f20d61ba8-00000188","src-c19f20d61ba8-00000188",1,0.828973648902145,0.171026351097855,0.70977859530672,0.905717551779055,1
"src-c19f20d61ba8-00000190","src-c19f20d61ba8-00000190",0,0.346565140139683,-0.346565140139683,0.198817400945297,0.531298513062813,0
"src-c19f20d61ba8-00000191","src-c19f20d61ba8-00000191",1,0.443500082827315,0.556499917172685,0.312486185531496,0.58287421624304,0
"src-c19f20d61ba8-00000192","src-c19f20d61ba8-00000192",1,0.752007355482844,0.247992644517156,0.636524040551605,0.840021090519672,1
"src-c19f20d61ba8-00000194","src-c19f20d61ba8-00000194",1,0.561584838288566,0.438415161711434,0.394947379868356,0.715399759653318,1
"src-c19f20d61ba8-00000201","src-c19f20d61ba8-00000201",1,0.722956706939588,0.277043293060412,0.60862808977632,0.814089055960935,1
"src-c19f20d61ba8-00000210","src-c19f20d61ba8-00000210",1,0.526155160976661,0.473844839023339,0.385588734885681,0.662694628048763,1
"src-c19f20d61ba8-00000223","src-c19f20d61ba8-00000223",0,0.489369598659549,-0.489369598659549,0.356317011355456,0.623945631912251,0
"src-c19f20d61ba8-00000225","src-c19f20d61ba8-00000225",1,0.822002745465319,0.177997254534681,0.694302317908741,0.903753182044008,1
"src-c19f20d61ba8-00000227","src-c19f20d61ba8-00000227",1,0.688005559878126,0.311994440121874,0.580305292397082,0.778612052256556,1
"src-c19f20d61ba8-00000243","src-c19f20d61ba8-00000243",1,0.784028149273625,0.215971850726375,0.656137115167385,0.873522216511983,1
"src-c19f20d61ba8-00000251","src-c19f20d61ba8-00000251",1,0.649686670063829,0.350313329936171,0.521604481778593,0.759301289648141,1
"src-c19f20d61ba8-00000253","src-c19f20d61ba8-00000253",1,0.762016642522888,0.237983357477112,0.644687524292228,0.849638322061742,1
"src-c19f20d61ba8-00000254","src-c19f20d61ba8-00000254",1,0.661641803434104,0.338358196565896,0.545411535982802,0.761167395138186,1
"src-c19f20d61ba8-00000268","src-c19f20d61ba8-00000268",1,0.625751841153878,0.374248158846122,0.492559662298665,0.742276227434345,1
"src-c19f20d61ba8-00000269","src-c19f20d61ba8-00000269",0,0.790337145483414,-0.790337145483414,0.673896547340062,0.873034062590421,1
"src-c19f20d61ba8-00000272","src-c19f20d61ba8-00000272",1,0.694573374262199,0.305426625737801,0.50935418658628,0.832821239318585,1
"src-c19f20d61ba8-00000287","src-c19f20d61ba8-00000287",1,0.554300015600962,0.445699984399038,0.419189884637896,0.681835516167076,1
"src-c19f20d61ba8-00000289","src-c19f20d61ba8-00000289",1,0.490763714753546,0.509236285246454,0.363779136593566,0.618951479834609,0
"src-c19f20d61ba8-00000290","src-c19f20d61ba8-00000290",0,0.527051988441118,-0.527051988441118,0.379427938997562,0.670092728323951,1
"src-c19f20d61ba8-00000296","src-c19f20d61ba8-00000296",0,0.566551672530852,-0.566551672530852,0.406442446718682,0.713875846733037,1
