"observation_id","label","PC1","PC2","PC3"
"obs-0001","Adelie 1",-1.94650904732099,-0.216647934998153,-0.520757931175108
"obs-0002","Adelie 2",-1.91587029015208,-0.442251021682918,-1.15100461689871
"obs-0003","Adelie 3",-1.9844813302806,-1.22201347236884,0.214194542921425
"obs-0004","Adelie 4",-0.963355945090154,-0.167857876624914,-0.349827582864682
"obs-0005","Adelie 5",-1.88435353002618,-0.555563523613347,-0.67141968059951
"obs-0006","Adelie 6",-1.99632746217574,-1.03157153537587,0.241445214962882
"obs-0007","Adelie 7",-1.6606128149391,-0.627264960355096,-0.19897055865901
"obs-0008","Adelie 8",-0.639057239013859,0.0110220447823841,-0.663197589482716
"obs-0009","Chinstrap 9",-0.823067617501142,0.421510014467186,0.507934151239283
"obs-0010","Chinstrap 10",-0.564402482302869,0.402318930576366,0.328281538695426
"obs-0011","Chinstrap 11",0.0107017578142704,0.913834173543078,0.0567427249878486
"obs-0012","Chinstrap 12",0.447065822516869,2.09001818712114,-0.308989589220483
"obs-0013","Chinstrap 13",-0.987143887031976,-0.0588029549098757,1.46042809160084
"obs-0014","Chinstrap 14",-0.983950985312955,1.38691257973647,1.05858248590152
"obs-0015","Chinstrap 15",-0.206157610256873,1.58157954769347,-0.285936516821702
"obs-0016","Chinstrap 16",-0.263186114093726,1.22307289471562,0.405740656867651
"obs-0017","Gentoo 17",1.67567716592023,-1.468222959183,0.834559366484526
"obs-0018","Gentoo 18",3.03056702259921,-0.235768427062514,-0.763816929596559
"obs-0019","Gentoo 19",2.12785269969778,0.0700326204564532,-0.531525018755349
"obs-0020","Gentoo 20",1.22102186742604,-1.12840135570181,0.47288570957849
"obs-0021","Gentoo 21",1.78327107483991,-0.547398574684975,0.258345639318184
"obs-0022","Gentoo 22",2.67588462387603,-0.378914814619632,0.464816611955623
"obs-0023","Gentoo 23",1.87571192064421,-0.21178556760005,-0.643087215283506
"obs-0024","Gentoo 24",1.97072240016368,0.192163985688844,-0.21542350515638
