"x","y","z","label","species"
-0.64229203076708,-0.0714875907322261,-0.17183514744659,"Adelie 1","Adelie"
-0.632182121650919,-0.145930124093944,-0.379798436502333,"Adelie 2","Adelie"
-0.654821792582754,-0.403229317568686,0.0706780418727442,"Adelie 3","Adelie"
-0.317879769002409,-0.0553882740006022,-0.115433046111829,"Adelie 4","Adelie"
-0.621782496798251,-0.183319992420712,-0.221549193795311,"Adelie 5","Adelie"
-0.658730675576204,-0.340388952853821,0.0796699802916101,"Adelie 6","Adelie"
-0.547954492527558,-0.206979405397579,-0.0656545646987076,"Adelie 7","Adelie"
-0.210870518371101,0.00363695793565748,-0.218836140081111,"Adelie 8","Adelie"
-0.271588653662319,0.139086187939071,0.167603668703438,"Chinstrap 9","Chinstrap"
-0.186236594701278,0.132753681926926,0.108323470904092,"Chinstrap 10","Chinstrap"
0.00353127244323139,0.301539007957433,0.0187234681050487,"Chinstrap 11","Chinstrap"
0.147518869961647,0.68964592155055,-0.101957682148694,"Chinstrap 12","Chinstrap"
-0.325729106028923,-0.0194032847554193,0.481899288387387,"Chinstrap 13","Chinstrap"
-0.324675540245619,0.457641282767925,0.349301790063568,"Chinstrap 14","Chinstrap"
-0.0680260851251721,0.52187578624709,-0.094350830946634,"Chinstrap 15","Chinstrap"
-0.0868438520353199,0.403578896488695,0.133882753241227,"Chinstrap 16","Chinstrap"
0.55292529530763,-0.484471370616235,0.275380600482069,"Gentoo 17","Gentoo"
1,-0.0777968034708911,-0.252037629889294,"Gentoo 18","Gentoo"
0.702130223100228,0.0231087515749408,-0.175387976834605,"Gentoo 19","Gentoo"
0.402902116442492,-0.372340010066507,0.156038690466879,"Gentoo 20","Gentoo"
0.588428192328992,-0.180625793986068,0.0852466345049219,"Gentoo 21","Gentoo"
0.882965004212649,-0.12503099644193,0.153376120207685,"Gentoo 22","Gentoo"
0.618931014116124,-0.0698831492657136,-0.212200294693352,"Gentoo 23","Gentoo"
0.650281741161909,0.0634085912820473,-0.0710835640822155,"Gentoo 24","Gentoo"
